,City,Cloudiness,Nation,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
330,berlevag,0,NO,1618846856,40,70.8578,29.0864,48.2,13.8
331,arboletes,99,CO,1618846856,77,8.8505,-76.4269,81.34,3.51
332,brokopondo,67,SR,1618846856,70,4.75,-55.1667,81.99,7.54
333,muros,79,ES,1618846633,61,42.7762,-9.0603,64.0,5.1
334,grindavik,75,IS,1618846857,75,63.8424,-22.4338,37.4,25.32
335,yambio,100,SD,1618846857,60,4.5721,28.3955,78.58,6.26
336,biak,100,ID,1618846286,75,-0.9131,122.8766,76.86,1.95
337,jining,33,CN,1618846858,61,35.405,116.5814,55.47,7.58
338,rusape,92,ZW,1618846858,63,-18.5278,32.1284,60.49,5.73
339,pandan,100,PH,1618846609,92,14.0453,124.1694,78.4,34.58
340,diamantino,81,BR,1618846629,53,-14.4086,-56.4461,88.43,1.1
341,assiniboia,67,CA,1618846859,55,49.6334,-105.9845,30.2,5.75
342,ngunguru,100,NZ,1618846859,91,-35.6167,174.5,62.01,5.99
343,esso,100,RU,1618846859,99,55.9333,158.7,28.58,9.33
344,san quintin,13,MX,1618846318,12,13.3034,-4.8956,105.8,6.42
345,parabel,100,RU,1618846860,83,58.6978,81.4825,13.05,14.05
346,hobyo,29,SO,1618846920,71,5.3505,48.5268,84.24,11.74
347,calvinia,61,ZA,1618846920,29,-31.4707,19.776,77.16,10.71
348,tilichiki,88,RU,1618846920,97,60.4667,166.1,22.51,7.23
349,nador,0,MA,1618846902,68,35.174,-2.9287,68.0,6.91
350,sao filipe,35,CV,1618846921,17,20.5113,76.2129,89.65,8.03
351,aklavik,100,CA,1618846641,52,68.2191,-135.0107,37.4,3.44
352,olga,2,RU,1618846921,54,43.7444,135.2892,47.08,5.79
353,kula,100,TR,1618846922,66,38.5473,28.6498,54.59,11.81
354,aquiraz,75,BR,1618846922,66,-3.9014,-38.3911,87.8,10.36
355,san cristobal,13,EC,1618846710,12,13.3034,-4.8956,105.8,6.42
356,japura,37,BR,1618846922,96,-0.3167,102.35,74.61,2.33
357,ahuimanu,40,US,1618846923,88,21.4447,-157.8378,69.8,1.95
358,ayamonte,29,ES,1618846923,48,37.2099,-7.4027,70.0,11.01
359,mucuri,28,BR,1618846923,64,-18.0864,-39.5508,84.58,12.37
360,cordoba,75,AR,1618846924,73,-31.4135,-64.1811,80.01,14.97
361,tindivanam,71,IN,1618846924,69,12.25,79.65,86.22,11.74
362,saint-pierre,75,PM,1618846924,88,-21.3393,55.4781,77.0,10.36
363,linhares,96,BR,1618846924,49,-19.3911,-40.0722,88.57,5.14
